VenueName,Address,City,Category
Tenoch Mexican Taqueria,24 Riverside Ave (at River St.),Medford,Food
Chilli Garden,41 Riverside Ave,Medford,Food
Danish Pastry House,330 Boston Ave (Winthrop),Medford,Food
La Cascia's Bakery,418 Main St (Btw Mayberry Ave.),Medford,Food
Pizzeria Regina,44 Station Lndg (Revere Beach Pkwy),Medford,Food
Carroll's,21 Main St,Medford,Food
Bestsellers Cafe,24 High St,Medford,Food
The Magnificent Muffin and Bagel Shoppe,491 High St,Medford,Food
Sei Bar,182 Main St,Medford,Food
Blue Fuji,38 Salem St,Medford,Food
Bob's Italian Foods,324 Main St (at Billings Ave.),Medford,Food
Oasis Brazilian Restaurant,373 Main St (at Harvard St),Medford,Food
Bocelli's Restaurant & Pizza,374 Main St,Medford,Food
Bistro 5,5 Playstead Rd,Medford,Food
Not Your Average Joe's,501 Fellsway,Medford,Food
Real Italian Gusto,24 High St,Medford,Food
Raso's Bar and Grille,209 Mystic Ave,Medford,Food
Yoki Japanese Restaurant and Sushi Bar,62 Station Lndg,Medford,Food
Modern Pastry Shop,20 Salem St (btwn Ashland & Forest),Medford,Food
Nijiya,9 High St,Medford,Food
John Brewer's Tavern,7 Highland Ave (btw Devir & Woodruff),Medford,Food
Pranzi's Pizzeria & Grille,352 Boston Ave,Medford,Food
Jim's Market,463 Fulton St,Medford,Food
Dempsey's Breakfast and Lunch,64 Lambert St (Salem St),Medford,Food
Kelly's Roast Beef,35 Revere Beach Pkwy (at Constitution Way),Medford,Food
Chipotle Mexican Grill,616 Fellsway (Wellington Circle-  Routes 16 & 28),Medford,Food
Bertucci's,4054 Mystic Valley Pkwy (near Commercial St.),Medford,Food
Rosa's Roast Beef & Subs,51 High St,Medford,Food
Nappis Restaurant,370 Salem St (Garfield),Medford,Food
Joe Pizza,634 High St (Jerome),Medford,Food
Tamper,340 Boston Ave,Medford,Coffee
Danish Pastry House,330 Boston Ave (Winthrop),Medford,Coffee
Bestsellers Cafe,24 High St,Medford,Coffee
Dunkin' Donuts,430 Salem St,Medford,Coffee
Starbucks,5 Revere Beach Pkwy (at Fellsway NB),Medford,Coffee
Demet's Donuts,199 Mystic Ave,Medford,Coffee
Donut Villa,1 Highland Ave,Medford,Coffee
Oasis Cafe & Bakery,377 Main St (Harvard St),Medford,Coffee
Donuts with a Difference,35 Riverside Ave,Medford,Coffee
Cafe Deia,394B Main St,Medford,Coffee
Mystic Coffee Roaster,30 Riverside Ave (Medford Square),Medford,Coffee
Dunkin Donuts,7 Commercial St (Riverside Ave),Medford,Coffee
Dunkin' Donuts,4 Harvard Ave,Medford,Coffee
Starbucks,2151 Mystic Valley Pkwy (at Auburn St),Medford,Coffee
"The Rez, Tufts University",44 Professors Row,Medford,Coffee
"Tower Cafe, Tufts University",35 Professors Row,Medford,Coffee
Hillside Cafe,283 Boston Ave,Medford,Coffee
Espresso Plus,85 Commercial St,Medford,Coffee
Boingo Cafe,460 High St,Medford,Coffee
Rocky Mountain Spring Water,"",Medford,Coffee
Caffe' Baccini,394 Main St,Medford,Coffee
Cabana Cafe & Bakery,9 Highland Ave,Medford,Coffee
On The Hill Tavern,499 Broadway (at Medford),Medford,Nightlife
John Brewer's Tavern,7 Highland Ave (btw Devir & Woodruff),Medford,Nightlife
Paint Nite,499 Broadway,Medford,Nightlife
Paint Nite,1137 Broadway,Medford,Nightlife
Raso's,209 Mystic Ave,Medford,Nightlife
Paint Nite,44 Station Lndg,Medford,Nightlife
Bargain Spot Liquors,440 High St,Medford,Nightlife
North Street Nunnery,North Street (Sterling Street),Medford,Nightlife
Wilbur TheatrePromoted,246 Tremont St (at Stuart St.),Medford,Fun
Ball Square Bowling Alley,662 Boston Ave,Medford,Fun
Mystic River Reservation,4253 Mystic Valley Parkway,Medford,Fun
"Aidekman Arts Center, Tufts University",15 South Campus Road,Medford,Fun
mcdonald park,"",Medford,Fun
Columbus Memorial Park,"",Medford,Fun
Magoon Park,"",Medford,Fun
Springstep Building,"",Medford,Fun
