VenueName,Address,City,Category
3 Little Figs,278 Highland Ave (btwn Cedar & Eastman),Somervile,Food
Forge Baking Company,626 Somerville Ave,Somervile,Food
Highland Kitchen,150 Highland Ave (at Central St.),Somervile,Food
Sarma,249 Pearl St,Somervile,Food
Istanbul'lu,237 Holland St (at Broadway Ave),Somervile,Food
Journeyman,9 Sanborn Ct (Union Square),Somervile,Food
Dali,415 Washington St (at Beacon St.),Somervile,Food
Boston Burger Company,37 Davis Sq (at Holland St),Somervile,Food
Petsi Pies,285 Beacon St (at Sacramento St.),Somervile,Food
Amsterdam Falafelshop,248 Elm St (btwn Chester & Day),Somervile,Food
The Painted Burro,219 Elm St (btwn Bowers & Russell),Somervile,Food
Five Horses Tavern,400 Highland Ave (at Grove St.),Somervile,Food
Bergamot,118 Beacon St (at Washington St.),Somervile,Food
Taco Loco,44 Broadway (at George St.),Somervile,Food
Cafe Rustica,356 Beacon St (Forest St),Somervile,Food
La Hacienda,46 Medford St (at Ward St),Somervile,Food
Rosebud American Kitchen & Bar,381 Summer St,Somervile,Food
Lotus Express,167 Broadway (Cross St),Somervile,Food
Nine Bar Espresso,11 Holland St,Somervile,Food
Sabur,212 Holland St (btw Claremon & Moore),Somervile,Food
Machu Picchu Charcoal Chicken & Grill,25 Union Sq (at Somerville & Washington),Somervile,Food
Neighborhood Restaurant,25 Bow St (btwn Summer & Walnut),Somervile,Food
Sound Bites,704 Broadway (at Willow Ave.),Somervile,Food
Vinny's at Night,76 Broadway (at Hathorn St.),Somervile,Food
Redbones Barbecue,55 Chester St (at Elm St.),Somervile,Food
The Biscuit,406 Washington St (Beacon St.),Somervile,Food
True Bistro,1153 Broadway (at Curtis St),Somervile,Food
Kelly's Diner,674 Broadway (Boston Ave),Somervile,Food
Renee's Cafe,198 Holland St (at Claremon St.),Somervile,Food
Bronwyn,255 Washington St (at Sanborn Ct.),Somervile,Food
3 Little Figs,278 Highland Ave (btwn Cedar & Eastman),Somervile,Coffee
Union Square Donuts,16 Bow St,Somervile,Coffee
True Grounds,717 Broadway (at Bristol Rd.),Somervile,Coffee
Cafe Rustica,356 Beacon St (Forest St),Somervile,Coffee
Nine Bar Espresso,11 Holland St,Somervile,Coffee
Bloc 11 Cafe,11 Bow St (at Walnut St.),Somervile,Coffee
The Biscuit,406 Washington St (Beacon St.),Somervile,Coffee
Ball Square Cafe,708 Broadway (btwn Willow Ave. & Josephine Ave.),Somervile,Coffee
Diesel Café,257 Elm St (at Chester St),Somervile,Coffee
Starbucks,700 Assembly Square Dr (at Route 28),Somervile,Coffee
iYo Cafe,232 Elm St. (at Bowers Ave.),Somervile,Coffee
Style Cafe,600 Middlesex Ave,Somervile,Coffee
Dunkin Donuts,519 Somerville Ave (Central St),Somervile,Coffee
Starbucks,260 Elm St (at Day St),Somervile,Coffee
Sound Bites,704 Broadway (at Willow Ave.),Somervile,Coffee
Arts At The Armory,191 Highland Ave (Btw Benton & Belmont),Somervile,Coffee
Fortissimo Coffeehouse,365 Somerville Ave,Somervile,Coffee
Starbucks,711-723 Somerville Ave (at Elm St),Somervile,Coffee
Dunkin Donuts,220 Broadway (McGrath Hwy),Somervile,Coffee
Dunkin Donuts,76 Middlesex Ave (Foley St),Somervile,Coffee
Mr. Crêpe,51 Davis Sq (at Dover St.),Somervile,Coffee
Au Bon Pain,18 Holland St,Somervile,Coffee
"The Rez, Tufts University",44 Professors Row,Somervile,Coffee
Kung Fu Tea,237 Elm St,Somervile,Coffee
Starbucks,180 Somerville Ave (at Target),Somervile,Coffee
arts at the armory cafe,"191 Highland Ave #1b, Somerville, MA 02143",Somervile,Coffee
"Tower Cafe, Tufts University",35 Professors Row,Somervile,Coffee
DAVIDsTEA,300 Grand Union Blvd,Somervile,Coffee
Cafe Rossini,278 Highland Ave,Somervile,Coffee
Dunkin Donuts,709 McGrath Hwy (Blakely),Somervile,Coffee
East End GrillePromoted,118 Broadway (at Glen St.),Somervile,Nightlife
Backbar,9 Sanborn Ct (btwn Bonner & Stone),Somervile,Nightlife
Aeronaut Brewing Company,14 Tyler St (Dane Street),Somervile,Nightlife
Five Horses Tavern,400 Highland Ave (at Grove St.),Somervile,Nightlife
Trina's Starlite Lounge,3 Beacon St (at Dickinson St.),Somervile,Nightlife
Saloon,255 Elm St (btwn Chester & Day),Somervile,Nightlife
Posto,187 Elm St (at Windom St),Somervile,Nightlife
Olde Magoun's Saloon,518 Medford St,Somervile,Nightlife
Bantam Cidery,230 Somerville Ave,Somervile,Nightlife
The Kirkland Tap & Trotter,425 Washington St,Somervile,Nightlife
Brass Union,70 Union Sq,Somervile,Nightlife
Thirsty Scholar Pub,70 Beacon Street,Somervile,Nightlife
Bull McCabe's,366A Somerville Ave (Bow Street),Somervile,Nightlife
Parlor Sports,1 Beacon St (at Dickinson St.),Somervile,Nightlife
R. F. O'Sullivan & Son Pub,282 Beacon St (at Sacramento St.),Somervile,Nightlife
Somerville Brewing Company - Slumbrew,15 Ward St (Horace St),Somervile,Nightlife
Casey's Bar,173 Broadway,Somervile,Nightlife
Underbones,55 Chester St (Elm St),Somervile,Nightlife
Tony C's Sports Bar & Grill,699 Assembly Row,Somervile,Nightlife
On The Hill Tavern,499 Broadway (at Medford),Somervile,Nightlife
La Hacienda,46 Medford St (at Ward St),Somervile,Nightlife
River Bar,661 Assembly Row,Somervile,Nightlife
Sarma,249 Pearl St,Somervile,Nightlife
Bronwyn,255 Washington St (at Sanborn Ct.),Somervile,Nightlife
The Independent,75 Union Sq (Somerville Ave. & Washington St.),Somervile,Nightlife
Spoke,89 Holland St,Somervile,Nightlife
Cantina La Mexicana,247 Washington St (Union Square),Somervile,Nightlife
Daddy Jones,525 Medford St (Broadway),Somervile,Nightlife
Mount Vernon Restaurant,14 Broadway (at Mt Vernon St.),Somervile,Nightlife
ONCE Lounge,156 Highland Ave,Somervile,Nightlife
Wilbur TheatrePromoted,246 Tremont St (at Stuart St.),Somervile,Fun
AMC Assembly Row 12,395 Artisan Way (at Assembly Row),Somervile,Fun
Arts At The Armory,191 Highland Ave (Btw Benton & Belmont),Somervile,Fun
Grove-Cedar Bike Path,Davis Square,Somervile,Fun
Somerville Porchfest,"",Somervile,Fun
Prospect Hill Monument,Munroe Street (at Prospect Hill Avenue),Somervile,Fun
Somerville Theatre,55 Davis Sq (at Dover St.),Somervile,Fun
Prospect Hill Park,Prospect Hill Avenue (at Monroe St.),Somervile,Fun
Flatbread Company at Sacco's Bowl Haven,45 Day St (btwn Elm & Orchard),Somervile,Fun
LEGOLAND Discovery Center Boston,598 Assembly Row,Somervile,Fun
Albion Park,115 Albion St (Lowell),Somervile,Fun
Ball Square Bowling Alley,662 Boston Ave,Somervile,Fun
Odysseo White Big Top,201 Assembly Square Drive,Somervile,Fun
Jamspot,111 South St,Somervile,Fun
Davis Square Theater,255 Elm St,Somervile,Fun
Bull McCabe's,366A Somerville Ave (Bow Street),Somervile,Fun
Johnny D's Uptown Restaurant & Music Club,17 Holland St (btwn College Ave. & Winter St.),Somervile,Fun
Museum of Bad Art,55 Davis Sq (in Somerville Theatre),Somervile,Fun
"Aidekman Arts Center, Tufts University",15 South Campus Road,Somervile,Fun
